,0
2199,274713
2200,191091
2201,249523
2202,4665
2203,4093
2204,3842
2205,373440
2206,4495
2207,1303
2208,208468
2209,347390
2210,2591
2211,1768
2212,403677
2213,430846
2214,4537
2215,2710
2216,291570
2217,253701
2218,4376
2219,2316
2220,2009
2221,1421
2222,343324
2223,272230
2224,291551
2225,4625
2226,4543
2227,150060
2228,1510
2229,421316
2230,770
2231,286614
2232,349753
2233,442610
2234,3256
2235,250783
2236,4420
2237,3851
2238,411363
2239,255991
2240,316476
2241,333085
2242,251901
2243,401843
2244,442522
2245,216683
2246,349351
2247,439390
2248,376348
2249,1536
2250,352819
2251,358343
2252,802
2253,386016
2254,358303
2255,3952
2256,1871
2257,373203
2258,358998
2259,292461
2260,299854
2261,800
2262,413574
2263,407216
2264,292795
2265,344390
2266,439500
2267,375961
2268,368872
2269,301904
2270,2322
2271,446964
2272,1512
2273,413099
2274,375303
2275,4070
2276,3563
2277,248803
2278,413549
2279,227384
2280,373339
2281,1987
2282,4211
2283,327783
2284,283984
2285,318625
2286,955
2287,409901
2288,199326
2289,814
2290,2017
2291,4568
2292,3715
2293,244451
2294,310983
2295,177372
2296,3140
2297,147657
2298,406350
2299,1699
2300,1760
2301,2252
2302,169645
2303,767
2304,1342
2305,1374
2306,340403
2307,433632
2308,417296
2309,421721
2310,4071
2311,403924
2312,4643
2313,195696
2314,3611
2315,251778
2316,400509
2317,4514
2318,395566
2319,324028
2320,4089
2321,327336
2322,429004
2323,396342
2324,327190
2325,976
2326,287677
2327,3360
2328,441109
2329,296384
2330,1250
2331,1258
2332,255615
2333,317522
2334,2955
2335,281674
2336,386194
2337,383591
2338,193048
2339,243191
2340,4656
2341,282700
2342,340374
2343,146576
2344,167879
2345,2734
2346,165237
2347,296015
2348,400169
2349,4445
2350,439684
2351,817
2352,1413
2353,419918
2354,241788
2355,340367
2356,362468
2357,2150
2358,1517
2359,250029
2360,147065
2361,321199
2362,204351
2363,3209
2364,331753
2365,369364
2366,299469
2367,252132
2368,236074
2369,4280
2370,3737
2371,4438
2372,3882
2373,3778
2374,3777
2375,4564
2376,2486
2377,3638
2378,3683
2379,3753
2380,4477
2381,2348
2382,3550
2383,198958
2384,2785
2385,2869
2386,2514
2387,404478
2388,337473
2389,2671
2390,417537
2391,241847
2392,416220
2393,418518
2394,441921
2395,3230
2396,401985
2397,359518
2398,356262
2399,358615
2400,336233
2401,383514
2402,407239
2403,368799
2404,3862
2405,3296
2406,381345
2407,331616
2408,3555
2409,324717
2410,420751
2411,1663
2412,323932
2413,343325
2414,353435
2415,263847
2416,419128
2417,281728
2418,331964
2419,307729
2420,387627
2421,410986
2422,219323
2423,376883
2424,385923
2425,423413
2426,1751
2427,3762
2428,1694
2429,2418
2430,145246
2431,782
2432,417352
2433,264307
2434,408392
2435,207212
2436,394199
2437,1911
2438,291095
2439,363188
2440,388430
2441,1163
2442,442673
2443,427840
2444,3519
2445,376711
2446,387919
2447,273694
2448,387511
2449,264148
2450,274795
2451,3375
2452,4331
2453,232583
2454,237212
2455,245561
2456,224263
2457,364882
2458,381458
2459,344446
2460,412430
2461,4609
2462,428821
2463,383004
2464,439509
2465,424731
2466,1428
2467,399859
2468,431899
2469,4059
2470,366228
2471,4263
2472,340371
2473,231138
2474,287342
2475,2699
2476,182957
2477,317362
2478,316039
2479,185218
2480,4590
2481,264404
2482,3311
2483,1880
2484,3287
2485,2821
2486,217289
2487,347998
2488,279973
2489,4289
2490,4652
2491,3892
2492,376563
2493,367741
2494,1078
2495,342519
2496,3556
2497,843
2498,4457
2499,4283
2500,4309
2501,4409
2502,420990
2503,4563
2504,346795
2505,405638
2506,145599
2507,2778
2508,2680
2509,264705
